Numero,Nombre_Zenput,Ciudad,Estado,Direccion,Lat,Lon,Tags,Campos_Adicionales
68,68 - Avenida del Niño,Matamoros,TM,"Lib. Emilio Portes Gil SN-C, San Fernando",,,All Locations; EPL CAS,region:None; time_zone:America/Matamoros
69,69 - Puerto Rico,Matamoros,TM,Ave. Puerto Rico #84 Col. Fracc. Rincón Colonial,,,All Locations; EPL CAS,region:None; time_zone:America/Matamoros
7,7 - La Huasteca,Santa Catarina,NL,"Av. Morones Prieto #1100 local 8 y 9, Col. Las Montañas",,,All Locations; EPL CAS,region:; time_zone:America/Monterrey
70,70 - Coahuila Comidas,Piedras Negras,CO,Av. Carranza #609 Col. González,,,All Locations; EPL CAS,region:None; time_zone:America/Matamoros
71,71 - Centrito Valle,San Pedro Garza García,NL,"Rio Tamazunchale Nte. #317 D3, Col. Del Valle",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
72,72 - Sabinas Hidalgo,Sabinas Hidalgo,NL,"Carretera Nacional #915, Barrio el dólar",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
73,73 - Anzalduas,Reynosa,TM,"Lateral Canal Anzalduas s/n, Col. Ferrocarril Pte",,,All Locations; EPL CAS,region:None; time_zone:America/Matamoros
74,74 - Hidalgo (Reynosa),Reynosa,TM,"Blvd. Hidalgo #199, Col. Fuentes del Valle",,,All Locations; EPL CAS,region:None; time_zone:America/Matamoros
75,75 - Libramiento (Reynosa),Reynosa,TM,"Carretera a Matamoros #520, Col. Fundadores",,,All Locations; EPL CAS,region:None; time_zone:America/Matamoros
76,76 - Aeropuerto (Reynosa),Reynosa,TM,Carretera Federal Reynosa a Matamoros km 84 s/n col Almaguer,,,All Locations; EPL CAS,region:None; time_zone:America/Matamoros
77,77 - Boulevard Morelos,Reynosa,TM,"Boulevard Morelos 2418 Sur, Col. Ampliación Rodríguez",,,All Locations; EPL CAS,region:None; time_zone:America/Matamoros
78,78 - Alcala,Reynosa,TM,Carretera Fed. De Reynosa a San Fernando KM 2.5 Parque Industrial Estiva Alcalá Reynosa,,,All Locations; EPL CAS,region:None; time_zone:America/Matamoros
79,79 - Rio Bravo,Rio Bravo,TM,"Av. Constitución #105, Col. Centro",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
8,8 - Gonzalitos,Monterrey,NL,Av. José Eleuterio González #150 Nte. Monterrey,,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
80,80 - Guerrero 2 (Ruelas),Nuevo Laredo,TM,"Av. Guerrero #2454, Col. Centro",,,All Locations; EPL CAS,region:None; time_zone:America/Matamoros
81,81 - Reforma (Ruelas),Nuevo Laredo,TM,"Reforma #5701, Pad#6, Col. Centro",,,All Locations; EPL CAS,region:None; time_zone:America/Matamoros
82,82 - Aeropuerto Nuevo Laredo,Nuevo Laredo,Tamaulipas,8717 Calle Medellín,,,All Locations; EPL CAS,region:; time_zone:America/Matamoros
83,83 - Cerradas de Anahuac,Ciudad General Escobedo,Nuevo León,401 Avenida Concordia,,,All Locations; EPL CAS,region:; time_zone:America/Monterrey
84,84 - Aeropuerto del Norte,Ciénega de Flores,NL,Km. 23.2 Autopista Monterrey - Nuevo Laredo,,,All Locations; EPL CAS,region:; time_zone:America/Monterrey
85,85 - Diego Diaz,San Nicolás de los Garza,Nuevo León,198 Avenida Diego Díaz de Berlanga,,,All Locations; EPL CAS,region:; time_zone:America/Monterrey
86,86 - Miguel de la Madrid,Guadalupe,Nuevo León,Km 10 Autopista Monterrey- Reynosa,,,All Locations,region:; time_zone:America/Monterrey
9,9 - Anahuac,San Nicolas de los Garza,NL,Av. Alfonso Reyes # 504 Nte.,,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
